Kennziffer;Raumeinheit;Aggregat;Apotheken
"16064";"Unstrut-Hainich-Kreis";"Landkreis";"25,1"
"16065";"Kyffhäuserkreis";"Landkreis";"26,4"
"16066";"Schmalkalden-Meiningen";"Landkreis";"26,8"
"16067";"Gotha";"Landkreis";"23,6"
"16068";"Sömmerda";"Landkreis";"24,3"
"16069";"Hildburghausen";"Landkreis";"26,6"
"16070";"Ilm-Kreis";"Landkreis";"23,9"
"16071";"Weimarer Land";"Landkreis";"20,7"
"16072";"Sonneberg";"Landkreis";"37,3"
"16073";"Saalfeld-Rudolstadt";"Landkreis";"34,5"
"16074";"Saale-Holzland-Kreis";"Landkreis";"24,1"
"16075";"Saale-Orla-Kreis";"Landkreis";"34,4"
"16076";"Greiz";"Landkreis";"28,2"
"16077";"Altenburger Land";"Landkreis";"25,4"
