Kennziffer;Raumeinheit;Aggregat;Abhängigenquote Junge;Abhängigenquote Alte
"14524";"Zwickau";"Landkreis";"20,6";"48,9"
"14612";"Dresden, Stadt";"krsfr. Stadt";"22,6";"34,2"
"14625";"Bautzen";"Landkreis";"22,2";"45,0"
"14626";"Görlitz";"Landkreis";"21,2";"49,7"
"14627";"Meißen";"Landkreis";"22,3";"45,3"
"14628";"Sächsische Schweiz-Osterzgebirge";"Landkreis";"23,2";"45,8"
"14713";"Leipzig, Stadt";"krsfr. Stadt";"21,0";"31,2"
"14729";"Leipzig";"Landkreis";"21,5";"42,9"
"14730";"Nordsachsen";"Landkreis";"20,5";"40,5"
"15001";"Dessau-Roßlau, Stadt";"krsfr. Stadt";"19,1";"52,9"
"15002";"Halle (Saale), Stadt";"krsfr. Stadt";"20,9";"38,0"
"15003";"Magdeburg, Stadt";"krsfr. Stadt";"20,1";"38,2"
"15081";"Altmarkkreis Salzwedel";"Landkreis";"20,2";"37,2"
"15082";"Anhalt-Bitterfeld";"Landkreis";"18,4";"44,4"
"15083";"Börde";"Landkreis";"20,1";"36,0"
"15084";"Burgenlandkreis";"Landkreis";"19,0";"44,8"
"15085";"Harz";"Landkreis";"18,7";"45,0"
"15086";"Jerichower Land";"Landkreis";"19,5";"40,3"
"15087";"Mansfeld-Südharz";"Landkreis";"18,5";"48,1"
"15088";"Saalekreis";"Landkreis";"20,2";"40,3"
"15089";"Salzlandkreis";"Landkreis";"19,0";"44,9"
"15090";"Stendal";"Landkreis";"19,5";"39,4"
"15091";"Wittenberg";"Landkreis";"18,7";"46,2"
"16051";"Erfurt, Stadt";"krsfr. Stadt";"20,6";"33,9"
"16052";"Gera, Stadt";"krsfr. Stadt";"20,0";"47,6"
"16053";"Jena, Stadt";"krsfr. Stadt";"20,3";"32,1"
"16054";"Suhl, Stadt";"krsfr. Stadt";"17,6";"54,0"
"16055";"Weimar, Stadt";"krsfr. Stadt";"21,7";"35,9"
"16056";"Eisenach, Stadt";"krsfr. Stadt";"20,4";"41,5"
"16061";"Eichsfeld";"Landkreis";"22,7";"36,8"
"16062";"Nordhausen";"Landkreis";"20,1";"41,8"
"16063";"Wartburgkreis";"Landkreis";"20,3";"39,9"
"16064";"Unstrut-Hainich-Kreis";"Landkreis";"21,6";"39,5"
"16065";"Kyffhäuserkreis";"Landkreis";"19,4";"43,1"
"16066";"Schmalkalden-Meiningen";"Landkreis";"19,2";"41,7"
"16067";"Gotha";"Landkreis";"20,4";"39,6"
"16068";"Sömmerda";"Landkreis";"20,7";"37,8"
"16069";"Hildburghausen";"Landkreis";"19,3";"38,3"
"16070";"Ilm-Kreis";"Landkreis";"19,8";"40,9"
"16071";"Weimarer Land";"Landkreis";"22,1";"37,2"
"16072";"Sonneberg";"Landkreis";"18,2";"44,7"
"16073";"Saalfeld-Rudolstadt";"Landkreis";"19,1";"47,3"
"16074";"Saale-Holzland-Kreis";"Landkreis";"20,3";"40,9"
"16075";"Saale-Orla-Kreis";"Landkreis";"19,9";"42,3"
"16076";"Greiz";"Landkreis";"19,3";"47,6"
"16077";"Altenburger Land";"Landkreis";"19,0";"50,8"
