Kennziffer;Raumeinheit;Aggregat;Beschäftigte am Wohnort mit akademischem Abschluss
"13074";"Nordwestmecklenburg";"Landkreis";"10,6"
"13075";"Vorpommern-Greifswald";"Landkreis";"12,6"
"13076";"Ludwigslust-Parchim";"Landkreis";"8,4"
"14511";"Chemnitz, Stadt";"krsfr. Stadt";"20,9"
"14521";"Erzgebirgskreis";"Landkreis";"10,6"
"14522";"Mittelsachsen";"Landkreis";"12,8"
"14523";"Vogtlandkreis";"Landkreis";"12,0"
"14524";"Zwickau";"Landkreis";"12,8"
"14612";"Dresden, Stadt";"krsfr. Stadt";"30,2"
"14625";"Bautzen";"Landkreis";"12,9"
"14626";"Görlitz";"Landkreis";"12,3"
"14627";"Meißen";"Landkreis";"14,7"
"14628";"Sächsische Schweiz-Osterzgebirge";"Landkreis";"13,6"
"14713";"Leipzig, Stadt";"krsfr. Stadt";"26,9"
"14729";"Leipzig";"Landkreis";"13,6"
"14730";"Nordsachsen";"Landkreis";"10,7"
"15001";"Dessau-Roßlau, Stadt";"krsfr. Stadt";"14,0"
"15002";"Halle (Saale), Stadt";"krsfr. Stadt";"21,4"
"15003";"Magdeburg, Stadt";"krsfr. Stadt";"20,9"
"15081";"Altmarkkreis Salzwedel";"Landkreis";"8,5"
"15082";"Anhalt-Bitterfeld";"Landkreis";"9,6"
"15083";"Börde";"Landkreis";"9,1"
"15084";"Burgenlandkreis";"Landkreis";"8,9"
"15085";"Harz";"Landkreis";"9,7"
"15086";"Jerichower Land";"Landkreis";"10,2"
"15087";"Mansfeld-Südharz";"Landkreis";"8,6"
"15088";"Saalekreis";"Landkreis";"11,2"
"15089";"Salzlandkreis";"Landkreis";"8,6"
"15090";"Stendal";"Landkreis";"10,3"
"15091";"Wittenberg";"Landkreis";"8,9"
"16051";"Erfurt, Stadt";"krsfr. Stadt";"20,7"
"16052";"Gera, Stadt";"krsfr. Stadt";"12,1"
"16053";"Jena, Stadt";"krsfr. Stadt";"38,4"
"16054";"Suhl, Stadt";"krsfr. Stadt";"13,6"
"16055";"Weimar, Stadt";"krsfr. Stadt";"26,6"
"16056";"Eisenach, Stadt";"krsfr. Stadt";"13,0"
"16061";"Eichsfeld";"Landkreis";"8,4"
"16062";"Nordhausen";"Landkreis";"10,5"
"16063";"Wartburgkreis";"Landkreis";"8,5"
"16064";"Unstrut-Hainich-Kreis";"Landkreis";"9,2"
"16065";"Kyffhäuserkreis";"Landkreis";"7,9"
"16066";"Schmalkalden-Meiningen";"Landkreis";"10,9"
"16067";"Gotha";"Landkreis";"10,0"
"16068";"Sömmerda";"Landkreis";"8,6"
"16069";"Hildburghausen";"Landkreis";"8,3"
"16070";"Ilm-Kreis";"Landkreis";"14,3"
"16071";"Weimarer Land";"Landkreis";"12,0"
"16072";"Sonneberg";"Landkreis";"8,7"
"16073";"Saalfeld-Rudolstadt";"Landkreis";"10,5"
"16074";"Saale-Holzland-Kreis";"Landkreis";"12,8"
"16075";"Saale-Orla-Kreis";"Landkreis";"8,6"
"16076";"Greiz";"Landkreis";"10,0"
"16077";"Altenburger Land";"Landkreis";"8,7"
