Kennziffer;Raumeinheit;Aggregat;Kreistyp
"13004";"Schwerin, Stadt";"krsfr. Stadt";"3"
"13071";"Mecklenburgische Seenplatte";"Landkreis";"4"
"13072";"Landkreis Rostock";"Landkreis";"4"
"13073";"Vorpommern-Rügen";"Landkreis";"4"
"13074";"Nordwestmecklenburg";"Landkreis";"3"
"13075";"Vorpommern-Greifswald";"Landkreis";"4"
"13076";"Ludwigslust-Parchim";"Landkreis";"4"
"14511";"Chemnitz, Stadt";"krsfr. Stadt";"1"
"14521";"Erzgebirgskreis";"Landkreis";"2"
"14522";"Mittelsachsen";"Landkreis";"3"
"14523";"Vogtlandkreis";"Landkreis";"3"
"14524";"Zwickau";"Landkreis";"2"
"14612";"Dresden, Stadt";"krsfr. Stadt";"1"
"14625";"Bautzen";"Landkreis";"3"
"14626";"Görlitz";"Landkreis";"4"
"14627";"Meißen";"Landkreis";"3"
"14628";"Sächsische Schweiz-Osterzgebirge";"Landkreis";"3"
"14713";"Leipzig, Stadt";"krsfr. Stadt";"1"
"14729";"Leipzig";"Landkreis";"3"
"14730";"Nordsachsen";"Landkreis";"4"
"15001";"Dessau-Roßlau, Stadt";"krsfr. Stadt";"3"
"15002";"Halle (Saale), Stadt";"krsfr. Stadt";"1"
"15003";"Magdeburg, Stadt";"krsfr. Stadt";"1"
"15081";"Altmarkkreis Salzwedel";"Landkreis";"3"
"15082";"Anhalt-Bitterfeld";"Landkreis";"3"
"15083";"Börde";"Landkreis";"4"
"15084";"Burgenlandkreis";"Landkreis";"3"
"15085";"Harz";"Landkreis";"3"
"15086";"Jerichower Land";"Landkreis";"4"
"15087";"Mansfeld-Südharz";"Landkreis";"4"
"15088";"Saalekreis";"Landkreis";"3"
"15089";"Salzlandkreis";"Landkreis";"3"
"15090";"Stendal";"Landkreis";"4"
"15091";"Wittenberg";"Landkreis";"4"
"16051";"Erfurt, Stadt";"krsfr. Stadt";"1"
"16052";"Gera, Stadt";"krsfr. Stadt";"2"
"16053";"Jena, Stadt";"krsfr. Stadt";"1"
"16054";"Suhl, Stadt";"krsfr. Stadt";"4"
"16055";"Weimar, Stadt";"krsfr. Stadt";"2"
"16056";"Eisenach, Stadt";"krsfr. Stadt";"4"
"16061";"Eichsfeld";"Landkreis";"3"
"16062";"Nordhausen";"Landkreis";"4"
"16063";"Wartburgkreis";"Landkreis";"4"
"16064";"Unstrut-Hainich-Kreis";"Landkreis";"4"
"16065";"Kyffhäuserkreis";"Landkreis";"4"
"16066";"Schmalkalden-Meiningen";"Landkreis";"4"
"16067";"Gotha";"Landkreis";"3"
"16068";"Sömmerda";"Landkreis";"4"
"16069";"Hildburghausen";"Landkreis";"4"
"16070";"Ilm-Kreis";"Landkreis";"4"
"16071";"Weimarer Land";"Landkreis";"2"
"16072";"Sonneberg";"Landkreis";"4"
"16073";"Saalfeld-Rudolstadt";"Landkreis";"4"
"16074";"Saale-Holzland-Kreis";"Landkreis";"3"
"16075";"Saale-Orla-Kreis";"Landkreis";"4"
"16076";"Greiz";"Landkreis";"2"
"16077";"Altenburger Land";"Landkreis";"3"
